,model,early_stop,unfairness_reg,lr,val_score,abs_score,over_score,under_score,non_parity_score,,test
non_parity_score,gmf,5.848349432384602e-07,0.4210395964550404,0.29620887882692903,0.0001888275146484375,0.0013193488121032715,0.0008645355701446533,0.00027874112129211426,0.0009551048278808594,0.0006403028964996338,U
rmse,gmf,5.848349432384602e-07,0.4210395964550404,0.29620887882692903,0.4456777274608612,0.47559985518455505,0.4753607511520386,0.41423359513282776,0.4437253177165985,0.445522665977478,U
val_score,gmf,7.46686314601419e-06,0.45715159384756165,0.08815278443327434,0.06379279494285583,0.06503280997276306,0.06521739810705185,0.06427356600761414,0.06567011028528214,0.06857120245695114,O
abs_score,gmf,7.46686314601419e-06,0.45715159384756165,0.08815278443327434,0.06371042877435684,0.061770323663949966,0.06521739810705185,0.06427356600761414,0.06143362820148468,0.04430390149354935,O
over_score,gmf,7.46686314601419e-06,0.45715159384756165,0.08815278443327434,4.117816686630249e-05,0.002031738559405009,0.0,0.0,0.0021368176738421124,0.015975895822048187,O
under_score,gmf,7.46686314601419e-06,0.45715159384756165,0.08815278443327434,0.0637516145904859,0.06300106306870779,0.06521739651759466,0.06427356446782748,0.06353329400221507,0.052595301369826,O
non_parity_score,gmf,7.46686314601419e-06,0.45715159384756165,0.08815278443327434,2.3931264877319336e-05,4.1544437408447266e-05,0.00016418099403381348,0.0003077983856201172,7.37905502319336e-05,5.960464477539063e-08,O
rmse,gmf,7.46686314601419e-06,0.45715159384756165,0.08815278443327434,0.39310210943222046,0.3851791024208069,0.39636698365211487,0.4404197633266449,0.3789953589439392,0.37481606006622314,O
val_score,gmf,7.2892494715438485e-06,0.31087803494990984,0.22256225754332695,0.16598913073539734,0.16549845039844513,0.16469134390354156,0.1664586067199707,0.16477340459823608,0.16674858331680298,P
abs_score,gmf,7.2892494715438485e-06,0.31087803494990984,0.22256225754332695,0.0622316375374794,0.117201067507267,0.06051141023635864,0.16417600214481354,0.1252010613679886,0.11899370700120926,P
over_score,gmf,7.2892494715438485e-06,0.31087803494990984,0.22256225754332695,0.05554070731004079,0.024148695270220438,0.08016166081031163,0.0011413073539733886,0.13996177862087886,0.13299017578363417,P
under_score,gmf,7.2892494715438485e-06,0.31087803494990984,0.22256225754332695,0.11044841696818669,0.14134976536035537,0.08452967812617619,0.16531729996204375,0.0248116206129392,0.03375841438770294,P
non_parity_score,gmf,7.2892494715438485e-06,0.31087803494990984,0.22256225754332695,3.662705421447754e-05,5.6177377700805664e-05,8.821487426757812e-05,5.409121513366699e-05,0.0001500844955444336,0.0007542967796325684,P
rmse,gmf,7.2892494715438485e-06,0.31087803494990984,0.22256225754332695,0.39943432807922363,0.4049764573574066,0.40045222640037537,0.41905492544174194,0.4212391674518585,0.42254674434661865,P
val_score,gmf,4.333237264219995e-06,0.5865201501597094,0.12541994315506716,0.05871709808707237,0.05680297687649727,0.05788441374897957,0.06009945645928383,0.05798900127410889,0.05584704875946045,OP
abs_score,gmf,4.333237264219995e-06,0.5865201501597094,0.12541994315506716,0.05871709808707237,0.054443564265966415,0.05756670609116554,0.06009945645928383,0.043406836688518524,0.03919825702905655,OP
over_score,gmf,4.333237264219995e-06,0.5865201501597094,0.12541994315506716,0.0,0.0017980651060740154,0.0001588513453801473,0.0,0.01101186752319336,0.04027717043956121,OP
under_score,gmf,4.333237264219995e-06,0.5865201501597094,0.12541994315506716,0.058717098931471506,0.055004920661449436,0.05772556245326996,0.06009945621093114,0.04697713067134222,0.015569877425829569,OP
non_parity_score,gmf,4.333237264219995e-06,0.5865201501597094,0.12541994315506716,3.159046173095703e-06,7.647275924682617e-05,3.3915042877197266e-05,1.5616416931152344e-05,4.100799560546875e-05,0.00016701221466064453,OP
rmse,gmf,4.333237264219995e-06,0.5865201501597094,0.12541994315506716,0.42747241258621216,0.387540340423584,0.38957175612449646,0.40377146005630493,0.37537479400634766,0.37892457842826843,OP
val_score,gmf,6.034808511190639e-06,0.6751172748455117,0.06891520485301547,0.13472960889339447,0.1350041776895523,0.1375294327735901,0.13615423440933228,0.13784275949001312,0.13689832389354706,U
